,source_name,data_name,lineage_id,cell_id,predecessor_id,frame_idx,cell_num,cell_area,time_min,time_h,num_nuclei,total_green_raw,norm_green_raw,norm_green_bg_cor,total_red_raw,norm_red_raw,norm_red_bg_cor,nuclear_area1,nuclear_green_raw1,norm_nuclear_green_raw1,norm_nuclear_green_bg_cor1,norm_nuclear_red_raw1,norm_nuclear_red_bg_cor1,dna_area1,dna_green_raw1,norm_dna_green_raw1,norm_dna_green_bg_cor1,dna_red_raw1,norm_dna_red_raw1,norm_dna_red_bg_cor1,nuclear_area2,nuclear_green_raw2,norm_nuclear_green_raw2,norm_nuclear_green_bg_cor2,nuclear_red_raw2,norm_nuclear_red_raw2,norm_nuclear_red_bg_cor2,dna_area2,dna_green_raw2,norm_dna_green_raw2,norm_dna_green_bg_cor2,dna_red_raw2,norm_dna_red_raw2,norm_dna_red_bg_cor2,nuclear_area,nuclear_green_raw,norm_nuclear_green_raw,norm_nuclear_green_bg_cor,nuclear_red_raw,norm_nuclear_red_raw,norm_nuclear_red_bg_cor,dna_area,dna_green_raw,norm_dna_green_raw,norm_dna_green_bg_cor,dna_red_raw,norm_dna_red_raw,norm_dna_red_bg_cor,directory,mitosis_h
27,262,262-1,f62db297-f597-4a95-93fa-51c86ba64533,7252170d-baf1-420f-b8d5-f39eab77998d,f62db297-f597-4a95-93fa-51c86ba64533,37,1,27.5759464,361,6.016666667,1,498263,18068.7543,11504.5749,897380,32542.12882,21503.21017,3.417711073,249566,73021.38615,66457.20675,48066.96543,37028.04678,3.328108161,259850,78077.39035,71513.21095,158358,47581.98723,36543.06857,,,,,,,,,,,,,,,3.417711073,249566,73021.38615,66457.20675,164279,48066.96543,37028.04678,3.328108161,259850,78077.39035,71513.21095,158358,47581.98723,36543.06857,/mnt/d/2018-08-15-xi-ming/262,-2
28,262,262-1,f62db297-f597-4a95-93fa-51c86ba64533,43cb474f-5c71-44d4-852b-598b356e025d,7252170d-baf1-420f-b8d5-f39eab77998d,38,1,28.51273047,371,6.183333333,1,568237,19929.23829,13365.0589,928376,32560.05246,21521.13381,3.584116481,284944,79501.88045,72937.70105,46767.17425,35728.2556,3.379309825,315795,93449.55519,86885.3758,154807,45810.24174,34771.32309,,,,,,,,,,,,,,,3.584116481,284944,79501.88045,72937.70105,167619,46767.17425,35728.2556,3.379309825,315795,93449.55519,86885.3758,154807,45810.24174,34771.32309,/mnt/d/2018-08-15-xi-ming/262,-1.833333333
29,262,262-1,f62db297-f597-4a95-93fa-51c86ba64533,845dbc41-8405-41df-9d04-72ad8a661d76,43cb474f-5c71-44d4-852b-598b356e025d,39,1,29.75642583,381,6.35,1,633798,21299.53387,14735.35448,961762,32321.15327,21282.23461,3.942528129,354145,89826.87971,83262.70031,45854.33359,34815.41493,3.558515649,367378,103239.1132,96674.93383,161098,45271.1231,34232.20445,,,,,,,,,,,,,,,3.942528129,354145,89826.87971,83262.70031,180782,45854.33359,34815.41493,3.558515649,367378,103239.1132,96674.93383,161098,45271.1231,34232.20445,/mnt/d/2018-08-15-xi-ming/262,-1.666666667
30,262,262-1,f62db297-f597-4a95-93fa-51c86ba64533,adac79a9-63f5-4603-a618-3197d2a8ae13,845dbc41-8405-41df-9d04-72ad8a661d76,40,1,31.32410053,391,6.516666667,1,683726,21827.47433,15263.29493,994590,31751.5901,20712.67144,3.891326465,367576,94460.33462,87896.15522,45931.3814,34892.46274,3.737721473,400542,107162.078,100597.8986,168843,45172.70782,34133.78916,,,,,,,,,,,,,,,3.891326465,367576,94460.33462,87896.15522,178734,45931.3814,34892.46274,3.737721473,400542,107162.078,100597.8986,168843,45172.70782,34133.78916,/mnt/d/2018-08-15-xi-ming/262,-1.5
31,262,262-1,f62db297-f597-4a95-93fa-51c86ba64533,db79d57e-fc00-41c7-9bc8-6cebf7662fdc,adac79a9-63f5-4603-a618-3197d2a8ae13,41,1,32.83840652,401,6.683333333,1,730508,22245.53739,15681.35799,1034348,31498.11789,20459.19924,4.057731873,393439,96960.32471,90396.14531,44995.58022,33956.66157,3.891326465,425103,109243.7255,102679.5461,171227,44002.21918,32963.30052,,,,,,,,,,,,,,,4.057731873,393439,96960.32471,90396.14531,182580,44995.58022,33956.66157,3.891326465,425103,109243.7255,102679.5461,171227,44002.21918,32963.30052,/mnt/d/2018-08-15-xi-ming/262,-1.333333333
32,262,262-1,f62db297-f597-4a95-93fa-51c86ba64533,35d383ec-5ade-4073-922b-a0131d0f0479,db79d57e-fc00-41c7-9bc8-6cebf7662fdc,42,1,35.27380621,411,6.85,1,753933,21373.73538,14809.55599,1095178,31047.91112,20008.99246,4.582548929,405789,88550.93667,81986.75727,42577.61412,31538.69547,4.262538529,441958,103684.2241,97120.04468,188339,44184.70325,33145.7846,,,,,,,,,,,,,,,4.582548929,405789,88550.93667,81986.75727,195114,42577.61412,31538.69547,4.262538529,441958,103684.2241,97120.04468,188339,44184.70325,33145.7846,/mnt/d/2018-08-15-xi-ming/262,-1.166666667
33,262,262-1,f62db297-f597-4a95-93fa-51c86ba64533,f14599d0-8c2a-492b-82a7-f6be4a85936f,35d383ec-5ade-4073-922b-a0131d0f0479,43,1,37.00128955,421,7.016666667,1,763236,20627.28108,14063.10168,1132915,30618.2572,19579.33854,4.198536449,370263,88188.58773,81624.40834,44107.0364,33068.11775,4.300939777,399039,92779.49022,86215.31082,184986,43010.59991,31971.68126,,,,,,,,,,,,,,,4.198536449,370263,88188.58773,81624.40834,185185,44107.0364,33068.11775,4.300939777,399039,92779.49022,86215.31082,184986,43010.59991,31971.68126,/mnt/d/2018-08-15-xi-ming/262,-1
34,262,262-1,f62db297-f597-4a95-93fa-51c86ba64533,b5282ff6-8144-45d1-8d47-70e97113cd83,f14599d0-8c2a-492b-82a7-f6be4a85936f,44,1,38.56801449,431,7.183333333,1,763147,19787.04401,13222.86461,1177842,30539.34758,19500.42892,4.684952257,383224,81798.91255,75234.73315,43572.269,32533.35035,4.556948097,390738,85745.54541,79181.36601,198276,43510.69965,32471.781,,,,,,,,,,,,,,,4.684952257,383224,81798.91255,75234.73315,204134,43572.269,32533.35035,4.556948097,390738,85745.54541,79181.36601,198276,43510.69965,32471.781,/mnt/d/2018-08-15-xi-ming/262,-0.833333333
35,262,262-1,f62db297-f597-4a95-93fa-51c86ba64533,74bf66ec-74b8-422b-bfd3-8a535b09e36a,b5282ff6-8144-45d1-8d47-70e97113cd83,45,1,40.31012753,441,7.35,1,762181,18907.92827,12343.74887,1228987,30488.29352,19449.37487,4.595349345,350306,76230.54825,69666.36885,43119.24625,32080.32759,4.748954337,383860,80830.42555,74266.24615,196643,41407.64177,30368.72312,,,,,,,,,,,,,,,4.595349345,350306,76230.54825,69666.36885,198148,43119.24625,32080.32759,4.748954337,383860,80830.42555,74266.24615,196643,41407.64177,30368.72312,/mnt/d/2018-08-15-xi-ming/262,-0.666666667
36,262,262-1,f62db297-f597-4a95-93fa-51c86ba64533,7ce38c47-2a39-4a26-b165-e4e640ef628e,74bf66ec-74b8-422b-bfd3-8a535b09e36a,46,1,41.99732007,451,7.516666667,1,766805,18258.42694,11694.24754,1285384,30606.33388,19567.41523,5.056164321,373910,73951.31492,67387.13552,42266.03141,31227.11275,4.928160161,413043,83812.81989,77248.64049,205339,41666.46239,30627.54373,,,,,,,,,,,,,,,5.056164321,373910,73951.31492,67387.13552,213704,42266.03141,31227.11275,4.928160161,413043,83812.81989,77248.64049,205339,41666.46239,30627.54373,/mnt/d/2018-08-15-xi-ming/262,-0.5
37,262,262-1,f62db297-f597-4a95-93fa-51c86ba64533,50576557-79c2-4096-ac57-352e1eef2535,7ce38c47-2a39-4a26-b165-e4e640ef628e,47,1,44.598807,461,7.683333333,1,761287,17069.67184,10505.49244,1361784,30534.09029,19495.17164,5.516979297,368349,66766.42781,60202.24841,42727.00463,31688.08598,5.184168481,400216,77199.65148,70635.47209,216807,41820.97877,30782.06012,,,,,,,,,,,,,,,5.516979297,368349,66766.42781,60202.24841,235724,42727.00463,31688.08598,5.184168481,400216,77199.65148,70635.47209,216807,41820.97877,30782.06012,/mnt/d/2018-08-15-xi-ming/262,-0.333333333
38,262,262-1,f62db297-f597-4a95-93fa-51c86ba64533,76661ff1-58ff-4f4c-a727-b534fba81b37,50576557-79c2-4096-ac57-352e1eef2535,48,1,46.10104133,471,7.85,1,765355,16601.68573,10037.50633,1424597,30901.62302,19862.70437,5.043363905,341033,67620.14528,61055.96588,43161.86658,32122.94793,5.401775553,381555,70635.10807,64070.92867,227438,42104.30399,31065.38534,,,,,,,,,,,,,,,5.043363905,341033,67620.14528,61055.96588,217681,43161.86658,32122.94793,5.401775553,381555,70635.10807,64070.92867,227438,42104.30399,31065.38534,/mnt/d/2018-08-15-xi-ming/262,-0.166666667
39,262,262-1,f62db297-f597-4a95-93fa-51c86ba64533,b540ac7f-591d-4719-9307-6a6dea672155,76661ff1-58ff-4f4c-a727-b534fba81b37,49,1,47.28696837,481,8.016666667,2,746384,15784.13727,9219.957873,1472998,31150.18896,20111.2703,2.956896097,22513,7613.727119,1049.54772,39471.79616,28432.87751,5.632183041,351031,62325.92183,55761.74243,220148,39087.50805,28048.5894,,,,,,,,,,,,,,,2.956896097,22513,7613.727119,1049.54772,116714,39471.79616,28432.87751,5.632183041,351031,62325.92183,55761.74243,220148,39087.50805,28048.5894,/mnt/d/2018-08-15-xi-ming/262,0
40,262,262-1,f62db297-f597-4a95-93fa-51c86ba64533,1ae38799-759f-4e8b-9068-e06e629b9472,b540ac7f-591d-4719-9307-6a6dea672155,50,1,49.7121634,491,8.183333333,2,766979,15428.39715,8864.217749,1577025,31723.12151,20684.20286,3.225704833,162678,50431.76869,43867.58929,43659.91537,32620.99671,3.059299425,159511,52139.71496,45575.53557,135110,44163.70588,33124.78723,5.913792194,41792,7066.869892,502.6904926,245963,41591.41748,30552.49883,3.072099841,147353,47964.91248,41400.73308,115776,37686.27519,26647.35653,9.139497026,204470,22372.12829,15807.94889,386797,42321.47556,31282.5569,6.131399266,306864,50047.95589,43483.77649,250886,40918.22912,29879.31047,/mnt/d/2018-08-15-xi-ming/262,0.166666667
41,262,262-1,f62db297-f597-4a95-93fa-51c86ba64533,d7df6cae-f8b2-4a1f-b956-0d6156a7b714,1ae38799-759f-4e8b-9068-e06e629b9472,51,1,48.97390814,501,8.35,1,763101,15581.78689,9017.607495,1618291,33043.94241,22005.02375,5.632183041,194333,34504.02776,27939.84836,46511.98267,35473.06401,3.148902337,159821,50754.51154,44190.33214,151841,48220.29512,37181.37647,,,,,,,,,,,,,,,5.632183041,194333,34504.02776,27939.84836,261964,46511.98267,35473.06401,3.148902337,159821,50754.51154,44190.33214,151841,48220.29512,37181.37647,/mnt/d/2018-08-15-xi-ming/262,0.333333333
42,262,262-1,f62db297-f597-4a95-93fa-51c86ba64533,45f04f01-0a2a-4d39-94c4-a799d6012747,d7df6cae-f8b2-4a1f-b956-0d6156a7b714,52,1,48.70558456,511,8.516666667,2,808400,16597.68602,10033.50662,1676923,34429.78901,23390.87036,4.966561409,230907,46492.32758,39928.14818,48987.41402,37948.49536,3.174503169,189932,59830.46477,53266.28537,162247,51109.41504,40070.49639,2.521681953,133693,53017.39177,46453.21237,116874,46347.63709,35308.71844,2.790490689,159592,57191.37521,50627.19581,128834,46168.94101,35130.02236,7.488243362,364600,48689.65689,42125.47749,360173,48098.4635,37059.54484,5.964993858,349524,58595.86922,52031.68982,291081,48798.20616,37759.28751,/mnt/d/2018-08-15-xi-ming/262,0.5
